 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204231940;12.1;0.0;72.3;72.3;26.3
GRE;202204231950;12.1;0.0;72.9;72.9;22.0
GRE;202204232000;11.9;0.0;74.0;74.0;18.7
GRE;202204232010;11.8;0.0;74.2;74.2;13.3
GRE;202204232020;11.3;0.0;76.7;76.7;5.8
GRE;202204232030;11.4;0.0;76.0;76.0;7.6
GRE;202204232040;11.1;0.0;77.5;77.5;7.6
GRE;202204232050;10.9;0.0;78.5;78.5;5.4
GRE;202204232100;10.6;0.0;79.1;79.1;5.0
GRE;202204232110;10.8;0.0;79.0;79.0;6.1
GRE;202204232120;9.9;0.0;83.1;83.1;6.8
GRE;202204232130;9.8;0.0;83.2;83.2;4.7
GRE;202204232140;10.3;0.0;81.0;81.0;2.2
GRE;202204232150;9.9;0.0;83.2;83.2;3.2
GRE;202204232200;9.3;0.0;87.7;87.7;5.8
GRE;202204232210;9.6;0.0;87.5;87.5;6.1
GRE;202204232220;9.7;0.0;87.6;87.6;16.2
GRE;202204232230;10.3;0.0;86.4;86.4;14.0
GRE;202204232240;10.5;0.0;85.6;85.6;13.3
GRE;202204232250;10.7;0.0;85.3;85.3;10.4
GRE;202204232300;10.2;0.1;82.4;82.4;30.6
GRE;202204232310;8.8;0.7;85.9;85.9;36.4
GRE;202204232320;8.4;1.2;87.8;87.8;29.9
GRE;202204232330;8.2;1.3;87.5;87.5;24.8
GRE;202204232340;7.9;1.5;87.4;87.4;23.8
GRE;202204232350;7.8;1.6;89.9;89.9;14.0
GRE;202204240000;7.7;2.6;90.9;90.9;26.3
GRE;202204240010;7.6;2.7;92.8;92.8;27.0
GRE;202204240020;7.5;2.4;93.0;93.0;24.8
GRE;202204240030;7.4;2.5;93.8;93.8;19.4
GRE;202204240040;7.3;2.4;93.7;93.7;19.8
GRE;202204240050;7.4;2.4;92.7;92.7;17.6
GRE;202204240100;7.3;1.3;92.2;92.2;18.0
GRE;202204240110;7.0;0.7;94.0;94.0;15.5
GRE;202204240120;7.0;0.5;94.2;94.2;15.8
GRE;202204240130;7.0;0.4;93.7;93.7;12.6
GRE;202204240140;7.0;1.0;93.9;93.9;10.4
GRE;202204240150;7.0;1.8;93.3;93.3;11.2
GRE;202204240200;7.0;2.3;92.1;92.1;10.4
GRE;202204240210;7.0;2.4;93.2;93.2;10.1
GRE;202204240220;7.0;2.4;93.7;93.7;4.7
GRE;202204240230;6.9;2.3;94.2;94.2;1.1
GRE;202204240240;6.8;1.6;94.9;94.9;3.6
GRE;202204240250;6.8;0.7;95.8;95.8;5.8
GRE;202204240300;6.6;0.2;96.2;96.2;4.7
GRE;202204240310;6.7;0.0;95.7;95.7;2.2
GRE;202204240320;6.5;0.0;95.7;95.7;5.8
GRE;202204240330;6.8;0.0;95.4;95.4;2.5
GRE;202204240340;6.3;0.0;95.7;95.7;1.8
GRE;202204240350;6.1;0.0;97.5;97.5;2.5
GRE;202204240400;5.8;0.0;98.3;98.3;3.2
GRE;202204240410;6.1;0.0;98.7;98.7;0.7
GRE;202204240420;6.2;0.0;98.8;98.8;1.4
GRE;202204240430;6.3;0.0;98.6;98.6;3.2
GRE;202204240440;6.5;0.0;98.2;98.2;1.4
GRE;202204240450;6.6;0.0;97.2;97.2;0.7
GRE;202204240500;6.8;0.0;96.6;96.6;2.2
GRE;202204240510;6.8;0.0;97.1;97.1;2.9
GRE;202204240520;6.8;0.0;97.8;97.8;3.2
GRE;202204240530;6.8;0.0;98.4;98.4;3.2
GRE;202204240540;6.9;0.0;97.6;97.6;4.7
GRE;202204240550;7.0;0.0;97.1;97.1;4.0
GRE;202204240600;7.0;0.0;96.8;96.8;2.5
GRE;202204240610;7.1;0.0;95.3;95.3;3.2
GRE;202204240620;7.1;0.0;95.5;95.5;4.3
GRE;202204240630;7.2;0.0;94.9;94.9;3.6
GRE;202204240640;7.4;0.0;94.0;94.0;5.0
